type,size,locality,price
3+1,70,Praha 1,16000
3+1,70,Praha 1,16000
1+kt,40,Praha 9,13500
2+kt,44,Praha 5,15000
1+kt,30,Praha 6,17000
3+1,64,Praha 1,15200
3+kt,92,Praha 1,45000
2+kt,55,Praha 5,18000
2+kt,55,Praha 9,18000
3+kt,69,Praha 5,20400
1+kt,37,Praha 4,11000
2+kt,45,Praha 5,17900
1+kt,42,Praha 8,10000
2+kt,63,Praha 4,19000
3+kt,73,Praha 6,21000
3+kt,95,Praha 5,20000
1+kt,24,Praha 3,16000
2+kt,45,Praha 5,17900
2+kt,36,Praha 8,13500
3+1,85,Praha 1,30000
1+kt,40,Praha 2,17000
2+kt,57,Praha,15000
3+kt,56,Praha 2,31500
4+kt,106,Praha 2,30000
3+1,105,Praha 1,24000
3+kt,88,Praha 4,27000
2+kt,50,Praha 4,16500
3+kt,81,Praha 2,22500
2+1,85,Praha 4,21900
4+kt,139,Praha 4,35000
1+kt,33,Praha 9,10500
2+1,45,Praha 4,18800
1+1,37,Praha 8,9600
2+1,75,Praha 1,15000
2+kt,40,Praha 6,12000
3+kt,80,Praha 2,36000
3+1,88,Praha 3,24000
2+kt,49,Praha 8,21000
4+1,100,Praha 2,25000
2+kt,50,Praha 1,17000
2+kt,40,Praha 2,19900
1+kt,33,Praha 6,10000
1+kt,27,Praha 9,12000
2+kt,65,Praha 8,18500
3+kt,87,Praha 5,26000
3+1,85,Praha 4,17600
1+1,35,Praha 9,11000
1+kt,40,Praha 5,13900
2+kt,63,Praha 5,13500
3+kt,74,Praha 5,17500
2+kt,44,Praha,14050
3+1,61,Praha 6,21000
2+kt,75,Praha 1,17500
3+kt,87,Praha,20000
2+kt,52,Praha 4,14500
3+kt,71,Praha 4,16900
2+1,70,Praha 2,20000
3+1,75,Praha 9,16000
3+kt,85,Praha,24950
3+kt,66,Praha 5,20000
3+1,116,Praha 5,32500
3+kt,120,Praha,49000
2+kt,50,Praha 2,22000
2+kt,65,Praha,27000
3+kt,55,Praha,23000
4+kt,155,Praha 5,45000
3+1,106,Praha,24000
3+1,88,Praha 5,20500
1+kt,38,Praha 6,16000
1+kt,32,Praha 4,10000
3+1,89,Praha,30000
4+kt,164,Praha 6,59000
2+1,50,Praha 5,13800
3+kt,102,Praha 7,29000
3+1,77,Praha 5,12500
4+kt,115,Praha 4,30000
3+kt,103,Praha 1,32000
4+kt,137,Praha 3,93709
2+1,58,Praha 1,16000
2+kt,82,Praha 1,45000
2+kt,54,Praha 3,21800
2+kt,45,Praha,13000
2+kt,50,Praha 5,16000
1+1,42,Praha 1,20000
2+kt,48,Praha 5,14000
4+kt,125,Praha 2,49900
3+1,73,Praha 5,16000
1+kt,30,Praha 9,12500
2+kt,58,Praha 4,16000
2+kt,66,Praha 9,19700
2+kt,48,Praha 8,15000
1+kt,30,Praha 3,11499
3+kt,74,Praha 1,21499
2+kt,75,Praha 2,28000
2+kt,50,Praha 4,14900
2+kt,45,Praha 8,15000
,128,Praha 4,33000
4+kt,120,Praha 1,19900
4+kt,134,Praha 3,90611
2+kt,56,Praha 7,23500
3+kt,81,Praha 1,19000
3+kt,70,Praha 1,18000
4+kt,134,Praha 5,31990
1+kt,32,Praha 5,15900
1+kt,54,Praha 5,16900
3+kt,80,Praha 5,28900
3+kt,69,Praha,26000
4+1,105,Praha 8,21900
2+kt,45,Praha 2,28000
2+kt,71,Praha 7,28000
2+1,75,Praha 2,24000
1+kt,31,Praha 1,10500
3+kt,116,Praha 1,32000
2+kt,55,Praha 1,15900
1+kt,39,Praha 9,12300
2+kt,46,Praha 8,13800
2+kt,59,Praha 2,30000
3+kt,72,Praha 6,28000
5+kt,196,Praha 8,45000
2+1,44,Praha 5,28200
2+kt,45,Praha 3,14000
2+1,77,Praha,38000
2+1,76,Praha,41500
4+1,174,Praha,89000
5+1,202,Praha,90000
3+1,104,Praha,48000
2+1,76,Praha 1,
4+kt,75,Praha,
2+1,57,Praha 6,19500
1+kt,31,Praha 6,15000
2+1,53,Praha 6,16000
3+1,63,Praha 4,17000
2+1,51,Praha 6,16000
2+kt,40,Praha 4,13800
3+kt,118,Praha 9,24000
1+kt,28,Praha 7,18000
3+kt,80,Praha 8,17500
2+kt,68,Praha 7,25000
3+kt,129,Praha 4,80000
2+kt,41,Praha 6,12000
2+kt,82,Praha 1,37000
2+1,53,Praha 1,12900
3+kt,97,Praha,22000
2+1,65,Praha,14000
1+1,40,Praha 2,21000
3+kt,118,Praha 8,26500
4+1,93,Praha 4,18000
3+1,80,Praha 4,17000
3+1,82,Praha 4,16500
1+kt,44,Praha 2,18000
3+1,90,Praha 7,29990
2+kt,42,Praha 9,14900
2+kt,50,Praha 1,14900
2+kt,45,Praha 4,12990
1+kt,42,Praha,12500
2+kt,81,Praha 5,26000
2+kt,55,Praha,16000
3+kt,100,Praha 1,200000
3+kt,60,Praha 1,18000
1+kt,35,Praha 1,11000
2+kt,77,Praha 5,18000
5+1,197,Praha 1,100000
2+1,71,Praha 1,18000
5+1,174,Praha 1,67000
2+kt,50,Praha 2,21500
2+kt,42,Praha 1,13500
2+kt,65,Praha 1,20000
2+kt,53,Praha 6,13500
1+kt,24,Praha 1,13000
3+1,92,Praha 6,26500
3+kt,78,Praha 8,17000
3+1,101,Praha 6,37000
2+1,40,Praha 1,12500
1+kt,29,Praha 3,12000
2+1,50,Praha,14000
3+kt,118,Praha 5,49000
2+1,95,Praha 5,24500
3+1,78,Praha 5,16500
2+kt,68,Praha 1,15900
